Name,Year,Genre,Style,r,g,b
The Goat Herd,1862,sketch and study,Realism,644,625,650
Dog,1862,animal painting,Post-Impressionism,803,759,735
Milk Jug,1862,still life,Realism,676,647,629
Barn and Farmhouse,1864,landscape,Post-Impressionism,625,600,584
Two Sketches of a Man Leaning on His Spade,1867,sketch and study,Realism,731,752,727
Old Woman Asleep after Rops,1873,genre painting,Realism,624,436,252
"Vincent's Boarding House in Hackford Road, Brixton, London",1873,sketch and study,Realism,752,673,519
Driveway,1873,landscape,Post-Impressionism,752,548,342
Canal,1873,landscape,Post-Impressionism,804,698,524
"Austin Friars Church, London",1874,sketch and study,Realism,599,578,571
Town d'Avray: L'Etang au Batelier,1875,sketch and study,Realism,829,742,597
Vicarage and Church at Etten,1876,sketch and study,Realism,803,640,389
Vicarage at Etten,1876,sketch and study,Realism,803,803,799
"View of Royal Road, Ramsgate",1876,sketch and study,Realism,802,645,437
"View of Royal Road, Ramsgate",1876,sketch and study,Realism,804,610,390
Churches at Petersham and Turnham Green,1876,sketch and study,Post-Impressionism,752,709,588
Mills in the Neighbourhood of Dordrecht,1877,sketch and study,Realism,753,671,523
The Cave of Machpelah,1877,sketch and study,Realism,931,652,406
“Au Charbonnage” Café,1878,cityscape,Realism,853,741,556
A house Magros,1879,cityscape,Realism,700,674,654
A Zandmennik house,1879,cityscape,Realism,701,625,596
Coal Shoveler,1879,genre painting,Realism,726,692,674
Coalmine in the Borinage,1879,cityscape,Realism,829,622,275
Miners,1880,genre painting,Realism,719,725,726
Miners in the Snow at Dawn,1880,sketch and study,Realism,904,812,655
The Angelus (after Millet),1880,genre painting,Realism,753,628,546
A Digger,1881,genre painting,Realism,727,638,449
A Girl Raking,1881,genre painting,Realism,710,623,535
A Man with a Broom,1881,genre painting,Realism,747,664,566
A Marsh,1881,landscape,Realism,829,755,678
An Old Man Putting Dry Rice on the Hearth,1881,genre painting,Realism,804,615,396
Barn with Moss-Covered Roof,1881,landscape,Realism,844,769,587
Boy Cutting Grass with a Sickle,1881,genre painting,Post-Impressionism,843,766,494
Daughter of Jacob Meyer,1881,portrait,Realism,673,648,499
Digger,1881,genre painting,Realism,623,599,549
Digger,1881,genre painting,Realism,702,606,480
Digger,1881,genre painting,Realism,879,740,625
Farmer Leaning on his Spade,1881,genre painting,Realism,625,567,523
Farmer sitting at the fireside and reading,1881,genre painting,Realism,678,682,562
Field in a Thunderstorm,1881,sketch and study,Realism,752,674,543
Field with Thunderstorm,1881,sketch and study,Realism,548,533,477
French Peasant Woman Suckling Her Baby after Dalou,1881,genre painting,Realism,904,631,347
Girl Kneeling,1881,genre painting,Realism,649,617,575
Girl Kneeling in Front of a Bucket,1881,genre painting,Realism,675,602,554
Girl with Black Cap Sitting on the Ground,1881,genre painting,Realism,775,773,778
"Kneeling Man, Planting",1881,genre painting,Realism,701,617,604
Landscape with Trees,1881,landscape,Realism,804,557,339
Landscape with Windmill,1881,landscape,Realism,600,546,533
Man Putting Potatoes in a Sack,1881,sketch and study,Realism,700,587,479
Man with a Sack of Wood,1881,sketch and study,Realism,778,568,329
Man with Saw,1881,sketch and study,Realism,752,665,628
Man with Winnow,1881,genre painting,Realism,727,647,608
Man Writing Facing Left,1881,sketch and study,Realism,804,713,615
Marsh with Water Lillies,1881,sketch and study,Realism,777,606,443
Miners Women Carrying Sacks (The Bearers of the Burden),1881,genre painting,Realism,722,670,605
Mother at the Cradle and Child Sitting on the Floor,1881,genre painting,Realism,880,815,609
Near the Hearth,1881,genre painting,Realism,778,663,529
Old Man Warming Himself,1881,genre painting,Realism,778,684,583
Peasant Girl Standing,1881,portrait,Realism,829,668,561
Peasant Sitting by the Fireplace (Worn Out),1881,sketch and study,Realism,804,756,740
Peasant Sitting by the Fireplace (Worn Out),1881,genre painting,Realism,778,643,418
Peasant with a Chopping Knife,1881,sketch and study,Realism,548,547,546
Peasant with a Stick,1881,sketch and study,Realism,676,615,577
Peasant Woman Sowing with a Basket,1881,genre painting,Realism,727,619,373
Pollard Willow,1881,landscape,Realism,778,627,519
"Portrait of Vincent van Gogh, the Artist s Grandfather",1881,portrait,Realism,701,611,488
Portrait possibly of Willemien van Gogh,1881,portrait,Realism,752,691,683
Reaper with Sickle (after Millet),1881,sketch and study,Realism,803,544,313
Road with Pollard Willows,1881,sketch and study,Realism,726,665,540
Road with Pollard Willows,1881,sketch and study,Realism,802,755,639
Road with Pollard Willows,1881,sketch and study,Realism,777,683,542
Road with Pollard Willows and Man with Broom,1881,sketch and study,Realism,675,659,644
Scheveningen Woman,1881,genre painting,Realism,1007,749,425
Scheveningen Woman Knitting,1881,genre painting,Realism,535,612,633
Scheveningen Woman Sewing,1881,sketch and study,Realism,724,675,557
Scheveningen Woman Standing,1881,sketch and study,Realism,726,635,582
Sculpture and Still Life with Cabbage and Clogs,1881,sketch and study,Realism,676,595,542
Small House on a Road with Pollard Willows,1881,sketch and study,Realism,854,720,645
Sower,1881,sketch and study,Realism,650,586,542
Sower,1881,genre painting,Realism,675,617,570
Sower,1881,sketch and study,Realism,668,674,675
Sower (after Millet),1881,genre painting,Realism,854,684,522
Sower with Basket,1881,sketch and study,Realism,600,589,531
Sower with Hand in Sack,1881,sketch and study,Realism,878,796,572
Sower with Hand in Sack,1881,sketch and study,Realism,778,730,695
Still Life with Beer Mug and Fruit,1881,still life,Realism,574,308,192
Still Life with Cabbage and Clogs,1881,still life,Realism,700,576,359
The Garden of the Parsonage with Arbor,1881,landscape,Realism,747,680,620
Unfinished Sketch of an Interior with a Pan above the Fire,1881,sketch and study,Realism,854,710,613
Windmils at Dordrecht,1881,landscape,Realism,879,700,502
Woman Churning Butter,1881,genre painting,Realism,648,628,580
Woman Grinding Coffee,1881,genre painting,Realism,727,487,300
Woman Mending Stockings,1881,genre painting,Realism,701,498,349
Woman Peeling Potatoes near a Window,1881,sketch and study,Realism,701,615,590
Woman Peeling Potatoes near a Window,1881,genre painting,Realism,700,675,658
Woman Sewing,1881,sketch and study,Realism,650,598,616
Woman Sewing,1881,genre painting,Realism,767,604,513
Woman Sitting at the Fireside,1881,genre painting,Realism,675,675,667
Woman Sitting on a Basket with Head in Hands,1881,genre painting,Realism,623,608,443
Young woman knitting,1881,genre painting,Realism,472,392,404
Young Woman Sewing,1881,genre painting,Realism,599,527,528
Donkey and Cart,1881,genre painting,Post-Impressionism,777,553,307
Route,1881,sketch and study,Post-Impressionism,803,714,552
"Woman near a Window twice, Man with Winnow, Sower, and Woman with Broom",1881,sketch and study,Post-Impressionism,930,825,644
The Bridge,1882,sketch and study,Post-Impressionism,676,638,623
A Carpenter with Apron,1882,portrait,Realism,600,594,578
A Girl in a Wood,1882,sketch and study,Realism,796,746,609
"A Girl in the Street, Two Coaches in the Background",1882,genre painting,Realism,752,623,258
An Almshouse Man in a Top Hat,1882,portrait,Realism,760,668,465
Baby,1882,portrait,Realism,879,661,423
Baby in a Carriage,1882,sketch and study,Realism,675,665,615
Beach and Boats,1882,sketch and study,Realism,802,746,624
Beach and Sea,1882,sketch and study,Realism,700,646,515
Beach at Scheveningen in Calm Weather,1882,landscape,Realism,1007,814,601
Beach with People Walking and Boats,1882,genre painting,Realism,880,774,585
Bench in a Wood,1882,landscape,Realism,599,599,599
Bench with Four Persons,1882,sketch and study,Realism,829,691,625
Bench with Four Persons and Baby,1882,genre painting,Realism,547,545,541
Bench with Three Persons,1882,genre painting,Realism,600,599,598
Bending Woman,1882,sketch and study,Realism,673,666,605
Bent Figure of a Woman,1882,portrait,Realism,752,611,536
Bent Figure of a Woman Sien,1882,portrait,Realism,802,771,631
Bleaching Ground,1882,cityscape,Realism,752,595,428
Bridge and Houses on the Corner of Herengracht-Prinsessegracht,1882,cityscape,Realism,879,767,647
Carpenter,1882,sketch and study,Realism,701,696,683
"Carpenter, Seen from the Back",1882,sketch and study,Realism,753,711,688
Carpenter`s Workshop Seen from the Artist`s Studio,1882,cityscape,Realism,650,431,265
Carpenter's Yard and Laundry,1882,cityscape,Realism,713,711,726
Church Pew with Worshippers,1882,genre painting,Realism,725,712,619
Cluster of Old Houses with the New Church in The Hague,1882,cityscape,Realism,752,488,320
Country Lane with Trees,1882,landscape,Realism,648,644,650
Cradle,1882,genre painting,Realism,620,581,499
Digger,1882,genre painting,Realism,956,808,576
Digger,1882,genre painting,Realism,829,710,491
Digger,1882,genre painting,Realism,753,607,434
Digger,1882,genre painting,Realism,752,636,471
Diggers in Torn-Up Street,1882,sketch and study,Realism,727,664,530
Donkey Cart with Boy and Scheveningen Woman,1882,genre painting,Realism,568,564,574
Dunes,1882,landscape,Realism,854,593,322
Dunes with Figures,1882,genre painting,Realism,726,690,596
Dunes with Figures,1882,genre painting,Realism,610,412,375
Edge of a Wood,1882,landscape,Realism,829,659,434
"Entrance to the Pawn Bank, The Hague",1882,cityscape,Realism,778,664,519
Factory,1882,cityscape,Realism,931,905,845
Figure of a Woman with Unfinished Chair,1882,sketch and study,Realism,625,564,533
Fish-Drying Barn,1882,cityscape,Realism,701,667,660
Fish-Drying Barn in Scheveningen,1882,cityscape,Realism,622,624,650
"Fish-Drying Barn, Seen From a Height",1882,cityscape,Realism,905,753,597
Fisherman on the Beach,1882,portrait,Realism,829,585,409
Fisherman with Basket on his Back,1882,sketch and study,Realism,981,856,708
Fisherman's Wife on the Beach,1882,portrait,Realism,803,616,456
Four Men Cutting Wood,1882,genre painting,Realism,698,652,454
Four People on a Bench,1882,genre painting,Realism,854,590,332
Gasworks,1882,cityscape,Realism,752,618,454
Girl Carrying a Loaf of Bread,1882,sketch and study,Realism,698,684,640
Girl in the Woods,1882,genre painting,Realism,650,388,180
Girl in White in the Woods,1882,genre painting,Realism,957,580,323
"Girl near the Stove, Grinding Coffee",1882,sketch and study,Realism,827,768,643
"Girl Sitting, Knitting",1882,genre painting,Realism,650,571,518
"Girl Standing, Knitting",1882,genre painting,Realism,699,662,605
Group of People on the Beach with Fishing Boat Arriving,1882,sketch and study,Realism,650,599,491
Head of a Woman,1882,portrait,Realism,549,419,335
Iron Mill in The Hague,1882,landscape,Realism,829,684,374
Lower Part of the Windmill De Laakmolen,1882,landscape,Realism,650,597,552
Man and Woman Seen from the Back,1882,sketch and study,Realism,904,753,474
Man Carrying Peat,1882,sketch and study,Realism,549,375,196
Man Sitting by the Stove The Pauper,1882,genre painting,Realism,548,548,548
Man Sitting with a Glass in His Hand,1882,sketch and study,Realism,673,670,675
Man Stooping with Stick or Spade,1882,genre painting,Realism,734,501,266
Man with his head in his hands,1882,portrait,Realism,727,600,378
Man with Pipe and Eye Bandage,1882,portrait,Realism,658,617,460
Man with Top Hat,1882,portrait,Realism,662,628,478
"Man, Sitting, Reading a Book",1882,genre painting,Realism,493,497,487
"Man, Standing with Arms Folded",1882,sketch and study,Realism,778,713,683
"Man, Standing, Reading a Book",1882,genre painting,Realism,522,495,444
"Meadow, In the Background New Church",1882,landscape,Realism,600,586,590
Meadows near Rijswijk,1882,landscape,Realism,551,414,476
Meadows near Rijswijk and the Schenkweg,1882,landscape,Realism,992,885,688
Miners in the Snow Winter,1882,genre painting,Realism,904,674,501
Miners' wives carrying sacks of coal,1882,genre painting,Realism,880,731,513
"Nude Woman, Half-Length",1882,nude painting (nu),Realism,700,701,701
Old Man in a Tail-coat,1882,portrait,Realism,804,646,375
Old Man Reading,1882,genre painting,Realism,701,572,386
Old Man with a Stick,1882,portrait,Realism,777,633,401
Old Man with a Top Hat,1882,portrait,Realism,701,628,469
Old Street The Paddemoes,1882,cityscape,Realism,879,795,676
Old Woman Seen from Behind,1882,sketch and study,Realism,956,864,686
Old Woman with a Shawl and a Walking-Stick,1882,genre painting,Realism,854,676,465
Orphan Man,1882,portrait,Realism,523,523,523
Orphan Man Holding Top Hat in his Hand,1882,portrait,Realism,675,642,614
Orphan Man Holding Top Hat in his Hand,1882,sketch and study,Realism,599,554,488
Orphan Man in Sunday Clothes with Eye Bandage,1882,portrait,Realism,461,522,440
Orphan Man with Cap and Stick,1882,portrait,Realism,723,707,651
Orphan Man with Cap and Walking Stick,1882,sketch and study,Realism,727,722,709
"Orphan Man with Cap, Eating",1882,sketch and study,Realism,804,658,561
"Orphan Man with Cap, Seen from the Back",1882,sketch and study,Realism,824,818,703
"Orphan Man with Long Overcoat and Umbrella, Seen from the Back",1882,portrait,Realism,600,594,581
"Orphan Man with Long Overcoat and Umbrella, Seen from the Back 2",1882,portrait,Realism,548,548,547
Orphan Man with Long Overcoat Cleaning Boots,1882,genre painting,Realism,854,731,555
"Orphan Man with Long Overcoat, Glass and Handkerchief",1882,portrait,Realism,904,874,736
Orphan Man with Top Hat and Hands Crossed,1882,portrait,Realism,750,737,681
Orphan Man with Top Hat and Umbrella Looking at his Watch,1882,portrait,Realism,600,594,579
Orphan Man with Top Hat and Umbrella Under his Arm,1882,portrait,Realism,640,645,533
"Orphan Man with Top Hat, Drinking Coffee",1882,genre painting,Realism,778,720,540
"Orphan Man with Top Hat, Drinking Coffee",1882,genre painting,Realism,548,548,546
"Orphan Man with Top Hat, Eating from a Plate",1882,genre painting,Realism,701,627,587
"Orphan Man with Top Hat, Head",1882,portrait,Realism,752,668,628
"Orphan Man with Top Hat, Holding Cup",1882,genre painting,Realism,804,727,657
"Orphan Man with Top Hat, Standing near the Stove, Seen from the Back",1882,sketch and study,Realism,647,627,561
"Orphan Man with Umbrella, Seen from the Back",1882,portrait,Realism,597,598,594
"Orphan Man, Sitting with a Girl",1882,genre painting,Realism,829,713,622
"Orphan Man, Standing",1882,sketch and study,Realism,751,710,585
"Orphan Man, Wearing a Blouse, Sitting with Pipe",1882,sketch and study,Realism,672,667,609
"Orphan Man, Wearing a Blouse, with Broom and Pipe",1882,sketch and study,Realism,752,731,665
Orphans,1882,sketch and study,Realism,802,747,643
People Strolling on the Beach,1882,genre painting,Realism,828,739,619
People Walking on the Beach,1882,sketch and study,Realism,523,523,523
Pollard Willow,1882,sketch and study,Realism,905,825,666
Pollard Willow,1882,landscape,Realism,760,748,365
Potato Field,1882,sketch and study,Realism,752,617,507
Prayer Before the Meal,1882,sketch and study,Realism,674,676,660
Rooftops,1882,cityscape,Realism,753,480,481
Sand Diggers,1882,sketch and study,Realism,804,668,578
Saw Mill,1882,sketch and study,Realism,724,713,658
Scheveningen Road,1882,sketch and study,Realism,838,806,722
Scheveningen Woman Sewing,1882,genre painting,Realism,681,620,487
Scheveningen Women and Other People Under Umbrellas,1882,sketch and study,Realism,962,685,502
Shores of Scheveningen,1882,landscape,Post-Impressionism,803,869,414
Sien Nursing Baby,1882,genre painting,Realism,620,650,624
Sien Nursing Baby,1882,sketch and study,Realism,548,518,470
"Sien Nursing Baby, Half-Figure",1882,sketch and study,Realism,548,573,558
"Sien Nursing Baby, Half-Figure",1882,sketch and study,Realism,623,602,550
"Sien Pregnant, Walking with Older Woman",1882,sketch and study,Realism,650,615,561
Sien under Umbrella with Girl,1882,sketch and study,Realism,600,527,482
Sien with Child on her Lap,1882,sketch and study,Realism,674,652,638
Sien with Cigar Sitting on the Floor near Stove,1882,genre painting,Realism,479,482,497
Sien with Umbrella and Prayer Book,1882,genre painting,Realism,671,671,612
Sien's Mother's House,1882,sketch and study,Realism,625,625,625
Sien's Mother's House Seen from the Backyard,1882,cityscape,Realism,803,614,418
"Sien's Mother's House, Closer View",1882,cityscape,Realism,701,635,419
Sorrow,1882,sketch and study,Realism,775,776,778
Sorrow,1882,sketch and study,Realism,930,771,448
Sorrow,1882,nude painting (nu),Realism,931,736,549
Sower,1882,genre painting,Realism,778,691,608
Sower,1882,genre painting,Realism,701,630,587
Sower,1882,genre painting,Realism,625,570,591
Sower,1882,genre painting,Realism,751,737,681
Sowers,1882,genre painting,Realism,854,725,555
"Standing Woman, Half-Length",1882,sketch and study,Realism,548,535,539
State Lottery Office,1882,genre painting,Realism,497,497,496
Station in The Hague,1882,cityscape,Realism,698,662,507
Studies of Donkey Carts,1882,sketch and study,Realism,650,646,634
Study of a Tree,1882,landscape,Realism,727,495,406
Sunset Over a Meadow,1882,sketch and study,Realism,778,700,570
The Bakery in de Geest,1882,cityscape,Realism,752,649,439
The Bench,1882,landscape,Realism,803,701,534
The Bookseller Blok,1882,portrait,Realism,843,622,537
The fish drying barn at Scheveningen,1882,sketch and study,Realism,775,773,778
The Houses on Schenkweg where Van Gogh Lived,1882,landscape,Realism,825,806,720
The Schenkweg,1882,sketch and study,Realism,726,665,553
The State Lottery,1882,genre painting,Realism,677,490,409
Torn-Up Street with Diggers,1882,cityscape,Realism,829,738,676
Two Boys near a Cart,1882,sketch and study,Realism,649,628,624
Two Men with a Four-Wheeled Wagon,1882,sketch and study,Realism,574,560,565
Two Women,1882,sketch and study,Realism,497,463,399
Two Women in the Woods,1882,genre painting,Realism,854,577,334
Van Stolkpark,1882,cityscape,Realism,920,913,818
View of Scheveningen,1882,cityscape,Realism,879,613,417
View of The Hague with the New Church,1882,cityscape,Realism,828,604,328
View of the Sea at Scheveningen,1882,landscape,Realism,753,564,352
Waiting Room,1882,genre painting,Realism,981,690,463
"Woman at the Window, Knitting",1882,genre painting,Realism,698,695,700
Woman in a Dark Dress (Sien's Mother),1882,portrait,Realism,624,603,558
Woman on a Road with Pollard Willows,1882,sketch and study,Realism,549,549,549
"Woman Sien with Baby on her Lap, Half-Figure",1882,genre painting,Realism,835,793,611
Woman Spreading Out Laundry on a Field,1882,genre painting,Realism,574,574,574
Woman with a Broom,1882,sketch and study,Realism,879,729,458
Woman with a Broom,1882,sketch and study,Realism,854,722,506
"Woman with Dark Cap, Sien's Mother",1882,portrait,Realism,751,703,643
"Woman with Hat, Coat and Pleated Dress",1882,sketch and study,Realism,625,601,555
"Woman with Hat, Head",1882,portrait,Realism,633,652,567
"Woman with Kettle, Seen from the Back",1882,portrait,Realism,600,584,543
"Woman with Shawl, Umbrella and Basket",1882,portrait,Realism,548,530,484
"Woman with White Bonnet, Sien's Mother",1882,portrait,Realism,596,592,600
Woman with White Shawl in a Wood,1882,genre painting,Realism,650,582,413
Women Mending Nets in the Dunes,1882,genre painting,Realism,478,587,469
Women Miners,1882,genre painting,Realism,751,711,612
Woody Landscape After the Rain,1882,sketch and study,Realism,722,680,584
"Workman Sitting on a Basket, Cutting Bread",1882,genre painting,Realism,715,682,541
Worn Out,1882,genre painting,Realism,828,732,688
Young Man with a Broom,1882,sketch and study,Realism,600,594,579
Bridge near the Schenkweg,1882,cityscape,Post-Impressionism,752,683,658
Blacksmith Shop,1882,genre painting,Realism,777,733,589
Boy with Cap and Clogs,1882,sketch and study,Post-Impressionism,829,613,343
Boy with Spade,1882,sketch and study,Post-Impressionism,776,766,695
Corinthian Capital,1883,sketch and study,Realism,904,820,834
A Sheet with Sketches,1883,genre painting,Realism,802,700,493
Baby,1883,portrait,Realism,693,649,545
Baby Crawling,1883,genre painting,Realism,625,573,591
Breakwater,1883,sketch and study,Realism,878,831,698
Bulb Fields,1883,landscape,Realism,752,498,347
Cemetery,1883,sketch and study,Realism,880,758,612
Churchyard in the Rain,1883,genre painting,Realism,779,644,436
Churchyard in the Rain,1883,genre painting,Realism,675,675,670
Churchyard in Winter,1883,cityscape,Realism,778,435,227
Churchyard in Winter,1883,cityscape,Realism,854,578,274
Cottages,1883,landscape,Realism,879,700,437
Drawbridge in Nieuw-Amsterdam,1883,cityscape,Realism,866,817,693
Farmhouse,1883,landscape,Realism,650,645,633
Farmhouse at Night,1883,landscape,Realism,673,670,675
Farmhouse with Barn and Trees,1883,landscape,Realism,596,600,583
Farmhouse with Peat Stacks,1883,landscape,Realism,625,505,373
Farmhouses Among Trees,1883,landscape,Realism,690,625,520
Farmhouses in Loosduinen near The Hague at Twilight,1883,landscape,Realism,702,557,290
Figures in a Winter Landscape,1883,sketch and study,Realism,624,408,259
Fisherman in Jacket with Upturned Collar,1883,portrait,Realism,750,750,725
Fisherman with Sou'wester,1883,portrait,Realism,752,752,752
"Fisherman with Sou'wester, head",1883,portrait,Realism,699,700,696
"Fisherman with Sou'wester, head",1883,portrait,Realism,670,680,636
"Fisherman with Sou'wester, Pipe and Coal-pan",1883,portrait,Realism,575,504,394
"Fisherman with Sou'wester, Sitting with Pipe",1883,sketch and study,Realism,879,778,572
"Fisherman with Sou'wester, Sitting with Pipe",1883,portrait,Realism,485,524,468
Five Men and a Child in the Snow,1883,genre painting,Realism,727,641,515
Funeral in the Snow near the Old Tower,1883,genre painting,Realism,700,652,549
Garbage Dump,1883,sketch and study,Realism,803,693,580
Garbage Dump,1883,sketch and study,Realism,696,651,549
Gardener near a Gnarled Apple Tree,1883,sketch and study,Realism,651,556,459
Girl Kneeling by a Cradle,1883,genre painting,Realism,727,472,261
Girl Kneeling in Front of a Cradle,1883,genre painting,Realism,548,548,546
Girl with a Shawl,1883,portrait,Realism,752,669,496
"Girl with Pinafore, Half-Figure",1883,portrait,Realism,725,725,726
"Girl with Shawl, Half-Figure",1883,portrait,Realism,700,605,501
Head of a Fisherman with a Fringe of Beard and a Sou'wester,1883,portrait,Realism,675,565,416
Head of a Fisherman with a Sou'wester,1883,portrait,Realism,701,617,471
Head of a Fisherman with a Sou'wester,1883,portrait,Realism,727,594,435
Head of a Woman,1883,portrait,Realism,727,635,480
Head of a Woman,1883,portrait,Realism,702,597,458
Head of a Woman,1883,portrait,Realism,904,735,523
Head of a Woman,1883,portrait,Realism,905,798,626
Head of a Woman,1883,portrait,Realism,675,578,448
Interior with a Weaver Facing Right,1883,genre painting,Realism,650,549,498
Landscape in Drenthe,1883,landscape,Realism,727,625,437
Landscape with a Church,1883,sketch and study,Realism,727,494,324
Landscape with a Church,1883,sketch and study,Realism,676,501,301
Landscape with a Farm,1883,landscape,Realism,673,670,676
Landscape with a Stack of Peat and Farmhouses,1883,landscape,Realism,740,693,462
Landscape with Bog-Oak Trunks,1883,landscape,Realism,905,833,750
Landscape with Dunes,1883,landscape,Realism,880,753,602
Landscape with Woman Walking,1883,landscape,Realism,722,724,726
"Lange Vijverberg, Hague",1883,sketch and study,Realism,828,659,410
Lumber Sale,1883,genre painting,Realism,691,489,271
Lying Cow,1883,animal painting,Realism,598,536,212
Man Breaking Up the Soil,1883,genre painting,Realism,650,504,364
Man Feeding Chickens or Sowing,1883,genre painting,Realism,545,540,548
Man in a Village Inn,1883,genre painting,Realism,676,583,484
Man Praying,1883,genre painting,Realism,777,765,705
Man pulling a harrow,1883,sketch and study,Realism,930,784,569
Man with Rake,1883,sketch and study,Realism,701,696,683
Melancholy,1883,genre painting,Realism,701,445,243
Old Nag,1883,animal painting,Realism,726,627,497
Orphan Man Talking with Woman Sien,1883,genre painting,Realism,673,655,600
Orphan Man with a Baby in his Arms,1883,genre painting,Realism,522,478,407
"Orphan Man with Cap, Half-Length",1883,portrait,Realism,600,585,589
"Orphan Man with Cap, Head",1883,portrait,Realism,625,559,522
Orphan Man with Pickax on his Shoulder,1883,sketch and study,Realism,625,565,522
"Orphan Man, Bareheaded",1883,portrait,Realism,778,689,641
Path to the Beach,1883,sketch and study,Realism,575,575,575
Peasant Burning Weeds,1883,genre painting,Realism,676,435,186
"Peasant Burning Weeds, and Farmhouse at Night",1883,sketch and study,Realism,600,462,365
Peat Diggers in the Dunes,1883,genre painting,Realism,625,625,625
Peat Diggers in the Dunes,1883,sketch and study,Realism,804,747,708
People in the Studio,1883,sketch and study,Realism,752,681,546
Ploughman and Three Women,1883,sketch and study,Realism,675,611,533
"Plowman with Stooping Woman, and a Little Farmhouse with Piles of Peat",1883,sketch and study,Realism,854,773,616
Plowman with Two Women,1883,sketch and study,Realism,752,659,514
Potato field behind the dunes,1883,sketch and study,Realism,714,712,726
Sand Diggers in Dekkersduin near The Hague,1883,sketch and study,Realism,701,701,701
Sand Diggers in Dekkersduin near The Hague 2,1883,sketch and study,Realism,778,778,778
Scheveningen Woman with Wheeelbarrow,1883,genre painting,Realism,829,796,642
Shepherd with Flock near a Little Church at Zweeloo,1883,landscape,Realism,701,690,678
"Sien, Peeling Potatoes",1883,genre painting,Realism,522,517,502
"Sien, Sewing, Half-Figure",1883,genre painting,Realism,751,729,678
"Sien, Sewing, Half-Figure",1883,genre painting,Realism,621,488,452
Snowy Landscape with Stooping Woman,1883,sketch and study,Realism,533,549,529
Snowy Landscape with the Old Tower,1883,sketch and study,Realism,625,614,559
Snowy Yard,1883,sketch and study,Realism,698,690,637
Soup Distribution in a Public Soup Kitchen,1883,genre painting,Realism,727,614,399
Stooping Woman in Landscape,1883,sketch and study,Realism,726,576,458
Stooping Woman with Net,1883,sketch and study,Realism,752,616,478
The Church in Nuenen in Winter,1883,sketch and study,Realism,563,561,625
The Heath with a Wheelbarrow,1883,landscape,Realism,931,834,616
The Landscape in Drenthe,1883,landscape,Realism,1007,754,539
The Public Soup Kitchen,1883,sketch and study,Realism,471,471,471
The Public Soup Kitchen,1883,sketch and study,Realism,825,761,640
Three Persons Returning from the Potato Field,1883,sketch and study,Realism,828,688,582
Two Women in the Moor,1883,genre painting,Realism,769,665,382
"Two Women, Kneeling",1883,sketch and study,Realism,625,595,536
View from the Window of Vincent's Studio in Winter,1883,cityscape,Realism,782,685,664
View from the Window of Vincent's Studio in Winter,1883,cityscape,Realism,701,632,435
"Weed Burner, Sitting on a Wheelbarrow with his Wife",1883,genre painting,Realism,753,678,435
Woman Digging,1883,genre painting,Realism,853,702,587
Woman Feeding Chickens,1883,genre painting,Realism,545,540,548
Woman Praying,1883,genre painting,Realism,591,597,475
"Woman Sewing, with a Girl",1883,genre painting,Realism,625,442,289
Woman Sitting on a Basket with Head in Hands,1883,genre painting,Realism,593,596,600
"Woman Sitting on a Basket, Sewing",1883,genre painting,Realism,600,566,518
Woman with a Child on Her Lap,1883,genre painting,Realism,573,391,227
Woman with a Fork in a Winter Landscape,1883,sketch and study,Realism,675,485,338
"Woman with Baby on her Lap, Half-Length",1883,portrait,Realism,471,471,471
"Woman with Folded Hands, Half-Length",1883,sketch and study,Realism,573,556,506
"Woman with Shawl over her Hair, Head",1883,portrait,Realism,548,523,480
"Woman with Shawl, Sewing",1883,genre painting,Realism,650,651,649
"Woman with White Bonnet, Sien's Mother",1883,portrait,Realism,600,576,529
"Woman with White Cloth around her Head, Sitting on a Bench",1883,portrait,Realism,673,670,675
Woman's Head,1883,sketch and study,Realism,676,658,665
Women Working in the Peat,1883,sketch and study,Realism,854,759,612
"Workman beside a Mound of Peat, and a Peat Boat with Two Figures",1883,sketch and study,Realism,804,710,572
"Workman with Spade, Sitting near the Window",1883,portrait,Realism,548,543,528
"Young Man, Sitting with a Cup in his Hand, Half-Length",1883,sketch and study,Realism,569,565,574
Blind Man Sitting in Interior,1883,portrait,Realism,648,631,586
Landscape,1883,sketch and study,Post-Impressionism,471,472,466
Alley Bordered by Trees,1884,landscape,Realism,870,720,554
At the Plough,1884,genre painting,Realism,635,625,410
Avenue of Poplars,1884,landscape,Realism,828,633,457
Avenue of Poplars at Sunset,1884,landscape,Realism,722,534,385
Avenue of Poplars at Sunset,1884,landscape,Realism,830,453,154
Behind the Hedges,1884,genre painting,Realism,701,701,701
Cart with Black Ox,1884,animal painting,Realism,726,727,723
Cart with Red and White Ox,1884,animal painting,Realism,752,499,203
"Church in Nuenen, with One Figure",1884,cityscape,Post-Impressionism,621,625,620
Congregation Leaving the Reformed Church in Nuenen,1884,cityscape,Realism,787,710,551
Ditch,1884,landscape,Realism,727,487,327
Gardener with a Wheelbarrow,1884,sketch and study,Realism,829,723,566
"Head of a Girl, Bareheaded, and Head of a Man with Beard and Cap",1884,sketch and study,Realism,779,701,607
Head of a Peasant Woman,1884,portrait,Realism,931,728,465
Head of a Peasant Woman with White Cap,1884,portrait,Realism,880,687,520
Head of a Woman,1884,portrait,Realism,727,597,457
Head of an Old Peasant Woman with White Cap,1884,portrait,Realism,752,525,323
